current_rating,previous_warnings,trips_count,sentiment_pred,sentiment_confidence,category_pred,category_confidence,decision
2.82,1,347,2,0.66,4,0.88,2
3.29,0,86,2,0.83,4,0.62,2
4.3,0,693,2,0.87,3,0.83,4
2.55,3,295,2,0.99,3,0.68,4
2.5,1,450,2,0.75,4,0.9,2
2.91,0,380,1,0.97,2,0.68,0
2.57,0,756,2,0.92,3,0.72,4
4.59,0,553,2,0.84,2,0.61,3
4.16,0,258,2,0.69,4,0.63,2
4.03,1,381,2,0.96,1,0.9,3
2.78,0,787,2,0.75,2,0.68,3
3.15,0,207,0,0.61,0,0.62,0
4.78,1,384,2,0.91,1,0.81,3
4.13,1,457,2,0.89,2,0.93,3
4.8,1,868,0,0.79,1,0.84,1
4.75,0,135,2,0.69,4,0.95,2
4.73,0,601,2,0.75,4,0.83,2
4.45,1,353,2,0.81,1,0.63,3
4.0,1,600,2,0.92,4,0.66,2
4.81,0,323,0,0.66,0,0.76,1
4.68,2,238,1,0.95,0,0.93,0
3.39,1,344,1,0.93,0,0.79,0
4.27,0,740,2,0.84,1,0.74,3
3.19,1,310,2,0.63,4,0.68,2
4.36,1,224,2,0.71,4,0.69,2
4.82,0,194,0,0.82,4,0.78,1
4.93,1,707,2,0.6,2,0.67,3
4.89,0,217,0,0.94,4,0.87,1
4.76,0,660,1,0.6,2,0.84,0
4.65,3,207,1,0.91,2,0.63,0
4.0,3,696,0,0.76,0,0.72,0
4.28,1,468,2,0.79,2,0.92,3
4.95,1,323,0,0.81,3,0.64,1
3.85,0,851,2,0.91,4,0.6,2
4.46,1,434,2,0.63,0,0.89,0
3.28,2,236,2,0.63,2,0.69,4
4.91,1,956,0,0.69,1,0.6,1
4.13,1,867,2,0.87,1,0.68,3
4.17,0,534,2,0.86,1,0.68,3
2.75,1,80,2,0.84,4,0.81,2
3.5,2,635,2,0.68,1,0.82,4
2.88,1,772,2,0.8,0,0.89,0
3.9,1,102,2,0.76,4,0.9,2
3.89,1,771,2,0.99,3,0.8,4
3.07,3,947,1,0.6,2,0.93,0
2.57,1,777,2,0.63,4,0.91,2
3.05,0,121,2,0.84,2,0.89,3
4.85,0,380,0,0.87,3,0.81,1
2.65,0,452,2,0.69,2,0.7,3
2.85,0,343,2,0.73,4,0.96,2
4.76,0,715,1,0.81,1,0.82,0
4.75,1,504,2,0.9,1,0.97,3
4.65,1,732,2,0.98,4,0.73,2
3.69,1,785,2,0.87,2,0.69,4
4.47,1,98,1,0.83,0,0.68,0
3.8,3,911,2,0.84,3,0.96,4
4.81,0,510,0,0.76,2,0.74,1
4.99,0,994,0,0.76,3,0.93,1
4.83,0,831,0,0.82,3,0.93,1
4.72,0,161,2,0.8,2,0.9,3
4.91,0,558,0,0.95,0,0.65,1
4.34,1,95,2,0.71,0,0.66,0
4.1,1,750,2,0.62,4,0.64,2
4.53,0,721,1,0.88,0,0.73,0
4.13,1,363,2,0.97,2,0.92,3
4.45,3,708,1,0.75,1,0.67,0
4.17,1,765,2,0.75,4,0.93,2
4.84,0,746,0,0.87,2,0.97,1
2.7,3,944,2,0.88,4,0.81,4
4.39,2,400,2,0.66,2,0.78,4
2.95,1,926,2,0.8,3,0.7,0
4.56,3,98,2,0.91,0,0.74,4
2.91,1,86,2,0.97,1,0.71,4
4.62,0,723,2,0.63,1,0.83,3
4.16,3,539,2,0.77,1,0.7,4
3.14,1,939,2,0.79,3,0.87,0
3.26,2,376,2,0.68,2,0.69,4
4.98,1,604,0,0.94,0,0.71,1
4.13,0,304,2,0.95,4,0.89,2
4.74,1,874,2,0.83,4,0.76,2
4.99,3,14,0,0.75,0,0.76,0
4.96,0,334,0,0.67,2,0.82,1
4.94,0,720,0,0.99,0,0.83,1
3.02,0,280,2,0.79,4,0.81,2
4.11,1,687,2,0.71,2,0.89,3
4.55,1,726,0,0.79,4,0.92,0
3.81,0,619,2,0.66,2,0.62,3
4.07,2,499,0,0.7,3,0.95,0
2.65,2,262,1,0.98,4,0.7,0
3.17,0,406,2,0.73,1,0.63,3
4.98,0,249,0,0.75,3,0.74,1
4.92,0,357,0,0.85,4,0.78,1
3.34,0,276,2,0.79,1,0.73,3
4.9,0,911,0,0.99,0,0.73,1
2.6,3,160,1,0.65,3,0.93,0
4.75,1,385,2,0.65,2,0.73,3
4.97,0,815,0,0.68,3,0.95,1
4.45,1,332,2,0.88,2,0.94,3
4.89,0,209,0,0.91,2,0.74,1
4.18,0,298,2,0.68,2,0.69,3
3.89,1,719,2,0.88,1,0.84,4
4.89,0,491,0,0.95,2,0.86,1
3.97,0,402,2,0.98,4,0.63,2
2.69,1,553,2,0.91,2,0.84,4
3.05,1,136,2,0.73,4,0.89,2
4.2,1,193,2,0.66,2,0.68,3
2.58,0,223,2,0.88,2,0.61,3
2.78,0,320,2,0.87,4,0.96,2
